Molecule name: OH
Physical parameters at a given cloud nb: 86
velocity gradient   -2.6078e-11 cm/s/cm
cloud height        1.0824e+17 cm
turb velocity       5.0000e+04 cm/s
gas temperature     2.6066e+02 K
h concentration     1.2819e+02 cm-3
h2 concentration    3.6226e+04 cm-3
molecule concentr   5.2933e-02 cm-3
nb of mol levels    24

Dust:
name            2_comp_model
dust mass per H 2.2583e-26
temperature (K) 1.2460e+01      

External radiation field:
No

The number of transitions	2
v, j, k1, k2, sym inv (upper) -> v, j, k1, k2, sym inv (lower)

0    1.5  1.5  0    1     -> 0    1.5  1.5  0    -1   1.7213184e+09  

mean inv       1.699e-03
mean gain      1.849e-17 cm-1
optical depth  2.719e+00
mean lum       0.000e+00 ph/cm3/s
At fixed layer:
exc temp       1.935e+01 K
loss rate      0.000e+00 s-1
satur tau      0.000e+00

relative depth   inversion    gain         luminosity   
5.500e-01        1.234e-03    5.478e-17    0.000e+00    
5.544e-01        1.176e-03    5.433e-17    0.000e+00    
5.592e-01        1.081e-03    5.198e-17    0.000e+00    
5.639e-01        1.003e-03    5.030e-17    0.000e+00    
5.681e-01        9.139e-04    4.739e-17    0.000e+00    
5.725e-01        8.650e-04    4.618e-17    0.000e+00    
5.770e-01        7.994e-04    4.409e-17    0.000e+00    
5.815e-01        7.463e-04    4.237e-17    0.000e+00    
5.861e-01        6.955e-04    4.058e-17    0.000e+00    
5.909e-01        6.423e-04    3.852e-17    0.000e+00    
5.958e-01        5.943e-04    3.661e-17    0.000e+00    
6.002e-01        5.491e-04    3.467e-17    0.000e+00    
6.048e-01        5.092e-04    3.278e-17    0.000e+00    
6.099e-01        4.677e-04    3.084e-17    0.000e+00    
6.143e-01        4.322e-04    2.910e-17    0.000e+00    
6.190e-01        4.005e-04    2.740e-17    0.000e+00    
6.242e-01        3.632e-04    2.538e-17    0.000e+00    
6.288e-01        3.359e-04    2.387e-17    0.000e+00    
6.341e-01        3.075e-04    2.218e-17    0.000e+00    
6.393e-01        2.736e-04    2.012e-17    0.000e+00    
6.442e-01        2.579e-04    1.921e-17    0.000e+00    
6.496e-01        2.275e-04    1.720e-17    0.000e+00    
6.543e-01        2.015e-04    1.544e-17    0.000e+00    
6.588e-01        1.839e-04    1.423e-17    0.000e+00    
6.647e-01        1.646e-04    1.288e-17    0.000e+00    
6.700e-01        1.395e-04    1.107e-17    0.000e+00    
6.742e-01        1.247e-04    9.980e-18    0.000e+00    
6.785e-01        1.110e-04    8.953e-18    0.000e+00    
6.830e-01        9.561e-05    7.774e-18    0.000e+00    
6.875e-01        8.143e-05    6.670e-18    0.000e+00    
6.923e-01        6.792e-05    5.604e-18    0.000e+00    
6.972e-01        5.552e-05    4.613e-18    0.000e+00    
7.024e-01        4.140e-05    3.464e-18    0.000e+00    
7.079e-01        2.820e-05    2.375e-18    0.000e+00    
7.137e-01        1.416e-05    1.201e-18    0.000e+00    
7.201e-01        3.076e-06    2.625e-19    0.000e+00    
7.266e-01        -1.238e-05   -1.065e-18   0.000e+00    
7.326e-01        -2.423e-05   -2.094e-18   0.000e+00    
7.387e-01        -3.424e-05   -2.974e-18   0.000e+00    
7.450e-01        -4.601e-05   -4.015e-18   0.000e+00    
7.516e-01        -5.719e-05   -5.014e-18   0.000e+00    
7.583e-01        -6.675e-05   -5.879e-18   0.000e+00    
7.654e-01        -7.777e-05   -6.878e-18   0.000e+00    
7.722e-01        -8.799e-05   -7.814e-18   0.000e+00    
7.794e-01        -9.558e-05   -8.515e-18   0.000e+00    
7.879e-01        -1.064e-04   -9.520e-18   0.000e+00    
7.967e-01        -1.169e-04   -1.049e-17   0.000e+00    
8.056e-01        -1.260e-04   -1.135e-17   0.000e+00    
8.146e-01        -1.356e-04   -1.226e-17   0.000e+00    
8.238e-01        -1.444e-04   -1.310e-17   0.000e+00    
8.338e-01        -1.527e-04   -1.389e-17   0.000e+00    
8.442e-01        -1.617e-04   -1.476e-17   0.000e+00    
8.531e-01        -1.704e-04   -1.560e-17   0.000e+00    
8.609e-01        -1.750e-04   -1.606e-17   0.000e+00    
8.701e-01        -1.814e-04   -1.669e-17   0.000e+00    
8.807e-01        -1.883e-04   -1.739e-17   0.000e+00    
8.933e-01        -1.952e-04   -1.808e-17   0.000e+00    
9.082e-01        -2.036e-04   -1.895e-17   0.000e+00    
9.259e-01        -2.121e-04   -1.985e-17   0.000e+00    
9.460e-01        -2.221e-04   -2.092e-17   0.000e+00    
9.685e-01        -2.313e-04   -2.195e-17   0.000e+00    
1.006e+00        -2.412e-04   -2.310e-17   0.000e+00    

0    1.5  1.5  0    1     -> 0    1.5  1.5  0    -1   1.6661865e+09  

mean inv       -4.533e-03
mean gain      -1.010e-16 cm-1
optical depth  2.192e-01
mean lum       0.000e+00 ph/cm3/s
At fixed layer:
exc temp       5.391e-01 K
loss rate      0.000e+00 s-1
satur tau      0.000e+00

relative depth   inversion    gain         luminosity   
0.000e+00        8.103e-04    1.369e-17    0.000e+00    
2.097e-02        6.323e-04    1.068e-17    0.000e+00    
4.360e-02        5.701e-04    9.628e-18    0.000e+00    
7.662e-02        9.925e-04    1.676e-17    0.000e+00    
9.685e-02        1.849e-03    3.123e-17    0.000e+00    
1.022e-01        1.968e-03    3.325e-17    0.000e+00    
1.092e-01        1.821e-03    3.076e-17    0.000e+00    
1.161e-01        1.613e-03    2.725e-17    0.000e+00    
1.215e-01        1.426e-03    2.410e-17    0.000e+00    
1.271e-01        -2.780e-03   -4.699e-17   0.000e+00    
1.317e-01        -2.802e-03   -4.737e-17   0.000e+00    
1.354e-01        -2.823e-03   -4.771e-17   0.000e+00    
1.396e-01        -2.852e-03   -4.820e-17   0.000e+00    
1.437e-01        -2.874e-03   -4.857e-17   0.000e+00    
1.477e-01        -2.892e-03   -4.886e-17   0.000e+00    
1.518e-01        -2.917e-03   -4.928e-17   0.000e+00    
1.558e-01        -2.950e-03   -4.986e-17   0.000e+00    
1.598e-01        -2.977e-03   -5.030e-17   0.000e+00    
1.641e-01        -3.021e-03   -5.103e-17   0.000e+00    
1.685e-01        -3.066e-03   -5.178e-17   0.000e+00    
1.729e-01        -3.134e-03   -5.289e-17   0.000e+00    
1.781e-01        -3.275e-03   -5.525e-17   0.000e+00    
1.835e-01        -3.441e-03   -5.795e-17   0.000e+00    
1.882e-01        -3.718e-03   -6.252e-17   0.000e+00    
1.925e-01        -3.990e-03   -6.693e-17   0.000e+00    
1.970e-01        -4.461e-03   -7.458e-17   0.000e+00    
2.014e-01        -5.246e-03   -8.726e-17   0.000e+00    
2.061e-01        -6.336e-03   -1.046e-16   0.000e+00    
2.106e-01        -8.125e-03   -1.325e-16   0.000e+00    
2.146e-01        -9.984e-03   -1.603e-16   0.000e+00    
2.185e-01        -1.198e-02   -1.888e-16   0.000e+00    
2.224e-01        -1.385e-02   -2.138e-16   0.000e+00    
2.264e-01        -1.560e-02   -2.350e-16   0.000e+00    
2.303e-01        -1.752e-02   -2.559e-16   0.000e+00    
2.326e-01        -1.952e-02   -2.752e-16   0.000e+00    
2.341e-01        -1.967e-02   -2.746e-16   0.000e+00    
2.372e-01        -2.003e-02   -2.715e-16   0.000e+00    
2.412e-01        -2.053e-02   -2.588e-16   0.000e+00    
2.451e-01        -2.095e-02   -2.309e-16   0.000e+00    
2.490e-01        -2.167e-02   -1.700e-16   0.000e+00    
2.531e-01        -2.296e-02   -8.426e-17   0.000e+00    
2.573e-01        -2.370e-02   -3.870e-17   0.000e+00    
2.615e-01        -2.350e-02   -3.352e-17   0.000e+00    
2.661e-01        -2.343e-02   -2.001e-17   0.000e+00    
2.712e-01        -2.332e-02   -6.528e-18   0.000e+00    
2.766e-01        -2.284e-02   -1.375e-18   0.000e+00    
2.817e-01        -2.205e-02   -4.880e-19   0.000e+00    
2.862e-01        -2.127e-02   -4.362e-19   0.000e+00    
2.906e-01        -2.058e-02   -4.628e-19   0.000e+00    
2.955e-01        -1.984e-02   -5.022e-19   0.000e+00    
3.003e-01        -1.901e-02   -5.500e-19   0.000e+00    
3.044e-01        -1.840e-02   -5.891e-19   0.000e+00    
3.085e-01        -1.784e-02   -6.275e-19   0.000e+00    
3.128e-01        -1.729e-02   -6.698e-19   0.000e+00    
3.177e-01        -1.679e-02   -7.137e-19   0.000e+00    
3.232e-01        -1.621e-02   -7.731e-19   0.000e+00    
3.288e-01        -1.568e-02   -8.429e-19   0.000e+00    
3.348e-01        -1.521e-02   -9.292e-19   0.000e+00    
3.410e-01        -1.477e-02   -1.039e-18   0.000e+00    
3.471e-01        -1.438e-02   -1.185e-18   0.000e+00    
3.529e-01        -1.407e-02   -1.357e-18   0.000e+00    
3.587e-01        -1.381e-02   -1.574e-18   0.000e+00    
3.636e-01        -1.358e-02   -1.849e-18   0.000e+00    
3.679e-01        -1.344e-02   -2.077e-18   0.000e+00    
3.729e-01        -1.326e-02   -2.429e-18   0.000e+00    
3.780e-01        -1.312e-02   -2.894e-18   0.000e+00    
3.824e-01        -1.297e-02   -3.473e-18   0.000e+00    
3.867e-01        -1.286e-02   -4.038e-18   0.000e+00    
3.910e-01        -1.272e-02   -4.901e-18   0.000e+00    
3.951e-01        -1.262e-02   -5.797e-18   0.000e+00    
3.992e-01        -1.249e-02   -7.100e-18   0.000e+00    
4.035e-01        -1.237e-02   -8.576e-18   0.000e+00    
4.069e-01        -1.219e-02   -1.099e-17   0.000e+00    
4.104e-01        -1.212e-02   -1.215e-17   0.000e+00    
4.151e-01        -1.190e-02   -1.602e-17   0.000e+00    
4.193e-01        -1.168e-02   -2.058e-17   0.000e+00    
4.234e-01        -1.143e-02   -2.637e-17   0.000e+00    
4.263e-01        -1.115e-02   -3.365e-17   0.000e+00    
4.292e-01        -1.103e-02   -3.718e-17   0.000e+00    
4.325e-01        -1.066e-02   -4.807e-17   0.000e+00    
4.359e-01        -1.043e-02   -5.551e-17   0.000e+00    
4.394e-01        -9.963e-03   -7.267e-17   0.000e+00    
4.426e-01        -9.687e-03   -8.383e-17   0.000e+00    
4.457e-01        -9.265e-03   -1.039e-16   0.000e+00    
4.490e-01        -8.998e-03   -1.189e-16   0.000e+00    
4.525e-01        -8.583e-03   -1.471e-16   0.000e+00    
4.560e-01        -8.311e-03   -1.711e-16   0.000e+00    
4.593e-01        -7.999e-03   -2.046e-16   0.000e+00    
4.627e-01        -7.780e-03   -2.319e-16   0.000e+00    
4.660e-01        -7.528e-03   -2.711e-16   0.000e+00    
4.696e-01        -7.318e-03   -3.005e-16   0.000e+00    
4.730e-01        -6.699e-03   -3.273e-16   0.000e+00    
4.764e-01        -6.349e-03   -3.425e-16   0.000e+00    
4.807e-01        -5.784e-03   -3.628e-16   0.000e+00    
4.838e-01        -5.227e-03   -3.754e-16   0.000e+00    
4.870e-01        -5.031e-03   -3.815e-16   0.000e+00    
4.904e-01        -4.509e-03   -3.874e-16   0.000e+00    
4.936e-01        -4.258e-03   -3.892e-16   0.000e+00    
4.973e-01        -3.836e-03   -3.849e-16   0.000e+00    
5.015e-01        -3.464e-03   -3.771e-16   0.000e+00    
5.060e-01        -3.011e-03   -3.609e-16   0.000e+00    
5.093e-01        -2.592e-03   -3.391e-16   0.000e+00    
5.126e-01        -2.426e-03   -3.292e-16   0.000e+00    
5.169e-01        -2.078e-03   -3.049e-16   0.000e+00    
5.209e-01        -1.831e-03   -2.858e-16   0.000e+00    
5.251e-01        -1.599e-03   -2.652e-16   0.000e+00    
5.292e-01        -1.403e-03   -2.466e-16   0.000e+00    
5.334e-01        -1.263e-03   -2.333e-16   0.000e+00    
5.375e-01        -1.115e-03   -2.174e-16   0.000e+00    
5.415e-01        -1.021e-03   -2.080e-16   0.000e+00    
5.457e-01        -9.290e-04   -1.975e-16   0.000e+00    
5.500e-01        -8.575e-04   -1.902e-16   0.000e+00    
5.544e-01        -7.920e-04   -1.830e-16   0.000e+00    
5.592e-01        -7.430e-04   -1.786e-16   0.000e+00    
5.639e-01        -6.880e-04   -1.724e-16   0.000e+00    
5.681e-01        -6.466e-04   -1.676e-16   0.000e+00    
5.725e-01        -6.166e-04   -1.646e-16   0.000e+00    
5.770e-01        -5.818e-04   -1.604e-16   0.000e+00    
5.815e-01        -5.494e-04   -1.560e-16   0.000e+00    
5.861e-01        -5.256e-04   -1.533e-16   0.000e+00    
5.909e-01        -5.003e-04   -1.500e-16   0.000e+00    
5.958e-01        -4.735e-04   -1.458e-16   0.000e+00    
6.002e-01        -4.552e-04   -1.437e-16   0.000e+00    
6.048e-01        -4.396e-04   -1.415e-16   0.000e+00    
6.099e-01        -4.183e-04   -1.379e-16   0.000e+00    
6.143e-01        -4.047e-04   -1.362e-16   0.000e+00    
6.190e-01        -3.935e-04   -1.346e-16   0.000e+00    
6.242e-01        -3.765e-04   -1.316e-16   0.000e+00    
6.288e-01        -3.666e-04   -1.302e-16   0.000e+00    
6.341e-01        -3.571e-04   -1.288e-16   0.000e+00    
6.393e-01        -3.434e-04   -1.262e-16   0.000e+00    
