Molecule name: ch3oh_a
Physical parameters at a given cloud nb: 86
velocity gradient   -2.6078e-11 cm/s/cm
cloud height        1.0824e+17 cm
turb velocity       5.0000e+04 cm/s
gas temperature     2.6066e+02 K
h concentration     1.2819e+02 cm-3
h2 concentration    3.6226e+04 cm-3
molecule concentr   3.7502e-02 cm-3
nb of mol levels    768

Dust:
name            2_comp_model
dust mass per H 2.2583e-26
temperature (K) 1.2460e+01      

External radiation field:
No

The number of transitions	16
v, j, k1, k2, sym inv (upper) -> v, j, k1, k2, sym inv (lower)

0    1    -1   0    0     -> 0    1    1    0    0    8.3428554e+08  

mean inv       4.900e-04
mean gain      1.371e-18 cm-1
optical depth  1.484e-01
mean lum       0.000e+00 ph/cm3/s
At fixed layer:
exc temp       -1.261e-01 K
loss rate      0.000e+00 s-1
satur tau      0.000e+00

relative depth   inversion    gain         luminosity   
6.588e-01        8.735e-04    2.863e-18    0.000e+00    
6.647e-01        8.691e-04    2.753e-18    0.000e+00    
6.700e-01        8.621e-04    2.610e-18    0.000e+00    
6.742e-01        8.575e-04    2.523e-18    0.000e+00    
6.785e-01        8.545e-04    2.438e-18    0.000e+00    
6.830e-01        8.504e-04    2.350e-18    0.000e+00    
6.875e-01        8.464e-04    2.263e-18    0.000e+00    
6.923e-01        8.421e-04    2.175e-18    0.000e+00    
6.972e-01        8.395e-04    2.090e-18    0.000e+00    
7.024e-01        8.357e-04    2.001e-18    0.000e+00    
7.079e-01        8.318e-04    1.912e-18    0.000e+00    
7.137e-01        8.275e-04    1.816e-18    0.000e+00    
7.201e-01        8.256e-04    1.730e-18    0.000e+00    
7.266e-01        8.213e-04    1.622e-18    0.000e+00    
7.326e-01        8.181e-04    1.539e-18    0.000e+00    
7.387e-01        8.163e-04    1.458e-18    0.000e+00    
7.450e-01        8.136e-04    1.378e-18    0.000e+00    
7.516e-01        8.106e-04    1.296e-18    0.000e+00    
7.583e-01        8.092e-04    1.219e-18    0.000e+00    
7.654e-01        8.064e-04    1.141e-18    0.000e+00    
7.722e-01        8.034e-04    1.063e-18    0.000e+00    
7.794e-01        8.027e-04    1.002e-18    0.000e+00    
7.879e-01        8.006e-04    9.239e-19    0.000e+00    
7.967e-01        7.982e-04    8.460e-19    0.000e+00    
8.056e-01        7.968e-04    7.730e-19    0.000e+00    
8.146e-01        7.938e-04    7.038e-19    0.000e+00    
8.238e-01        7.903e-04    6.393e-19    0.000e+00    
8.338e-01        7.875e-04    5.761e-19    0.000e+00    
8.442e-01        7.841e-04    5.147e-19    0.000e+00    
8.531e-01        7.788e-04    4.559e-19    0.000e+00    
8.609e-01        7.754e-04    4.200e-19    0.000e+00    
8.701e-01        7.701e-04    3.802e-19    0.000e+00    
8.807e-01        7.636e-04    3.379e-19    0.000e+00    
8.933e-01        7.551e-04    2.939e-19    0.000e+00    
9.082e-01        7.420e-04    2.475e-19    0.000e+00    
9.259e-01        7.250e-04    2.017e-19    0.000e+00    
9.460e-01        6.999e-04    1.566e-19    0.000e+00    
9.685e-01        6.710e-04    1.192e-19    0.000e+00    
1.006e+00        6.305e-04    8.629e-20    0.000e+00    

0    2    -1   0    0     -> 0    2    1    0    0    2.5027838e+09  

mean inv       6.347e-04
mean gain      1.008e-18 cm-1
optical depth  1.091e-01
mean lum       0.000e+00 ph/cm3/s
At fixed layer:
exc temp       -2.215e-01 K
loss rate      0.000e+00 s-1
satur tau      0.000e+00

relative depth   inversion    gain         luminosity   
0.000e+00        8.895e-05    5.348e-23    0.000e+00    
2.097e-02        7.678e-05    4.615e-23    0.000e+00    
4.360e-02        5.742e-05    3.452e-23    0.000e+00    
7.662e-02        3.363e-05    2.021e-23    0.000e+00    
9.685e-02        2.051e-05    1.235e-23    0.000e+00    
1.022e-01        1.940e-05    1.169e-23    0.000e+00    
1.092e-01        1.821e-05    1.098e-23    0.000e+00    
1.161e-01        1.664e-05    1.005e-23    0.000e+00    
1.215e-01        1.581e-05    9.561e-24    0.000e+00    
1.271e-01        1.502e-05    9.097e-24    0.000e+00    
1.317e-01        1.427e-05    8.657e-24    0.000e+00    
1.354e-01        1.378e-05    8.374e-24    0.000e+00    
1.396e-01        1.342e-05    8.166e-24    0.000e+00    
1.437e-01        1.296e-05    7.909e-24    0.000e+00    
1.477e-01        1.256e-05    7.679e-24    0.000e+00    
1.518e-01        1.221e-05    7.483e-24    0.000e+00    
1.558e-01        1.192e-05    7.325e-24    0.000e+00    
1.598e-01        1.167e-05    7.194e-24    0.000e+00    
1.641e-01        1.143e-05    7.071e-24    0.000e+00    
1.685e-01        1.123e-05    6.977e-24    0.000e+00    
1.729e-01        1.109e-05    6.914e-24    0.000e+00    
1.781e-01        1.099e-05    6.887e-24    0.000e+00    
1.835e-01        1.105e-05    6.964e-24    0.000e+00    
1.882e-01        1.127e-05    7.142e-24    0.000e+00    
1.925e-01        1.165e-05    7.414e-24    0.000e+00    
