Molecule name: oNH3
Physical parameters at a given cloud nb: 86
velocity gradient   -2.6078e-11 cm/s/cm
cloud height        1.0824e+17 cm
turb velocity       5.0000e+04 cm/s
gas temperature     2.6066e+02 K
h concentration     1.2819e+02 cm-3
h2 concentration    3.6226e+04 cm-3
molecule concentr   1.2312e+00 cm-3
nb of mol levels    17

Dust:
name            2_comp_model
dust mass per H 2.2583e-26
temperature (K) 1.2460e+01      

External radiation field:
No

The number of transitions	1
v, j, k1, k2, sym inv (upper) -> v, j, k1, k2, sym inv (lower)

0    3    3    0    1     -> 0    3    3    0    0    2.3870075e+10  

mean inv       1.713e-05
mean gain      -1.394e-16 cm-1
optical depth  2.018e+00
mean lum       0.000e+00 ph/cm3/s
At fixed layer:
exc temp       1.341e+03 K
loss rate      0.000e+00 s-1
satur tau      0.000e+00

relative depth   inversion    gain         luminosity   
6.785e-01        -1.557e-05   -2.785e-16   0.000e+00    
6.830e-01        -1.520e-05   -2.680e-16   0.000e+00    
6.875e-01        -1.480e-05   -2.576e-16   0.000e+00    
6.923e-01        -1.435e-05   -2.462e-16   0.000e+00    
6.972e-01        -1.410e-05   -2.383e-16   0.000e+00    
7.024e-01        -1.371e-05   -2.280e-16   0.000e+00    
7.079e-01        -1.330e-05   -2.176e-16   0.000e+00    
7.137e-01        -1.283e-05   -2.060e-16   0.000e+00    
7.201e-01        -1.248e-05   -1.968e-16   0.000e+00    
7.266e-01        -1.203e-05   -1.852e-16   0.000e+00    
7.326e-01        -1.170e-05   -1.768e-16   0.000e+00    
7.387e-01        -1.131e-05   -1.674e-16   0.000e+00    
7.450e-01        -1.103e-05   -1.600e-16   0.000e+00    
7.516e-01        -1.064e-05   -1.509e-16   0.000e+00    
7.583e-01        -1.036e-05   -1.436e-16   0.000e+00    
7.654e-01        -1.003e-05   -1.358e-16   0.000e+00    
7.722e-01        -9.664e-06   -1.276e-16   0.000e+00    
7.794e-01        -9.447e-06   -1.221e-16   0.000e+00    
7.879e-01        -9.094e-06   -1.142e-16   0.000e+00    
7.967e-01        -8.756e-06   -1.066e-16   0.000e+00    
8.056e-01        -8.465e-06   -9.979e-17   0.000e+00    
8.146e-01        -8.147e-06   -9.298e-17   0.000e+00    
8.238e-01        -7.859e-06   -8.684e-17   0.000e+00    
8.338e-01        -7.613e-06   -8.121e-17   0.000e+00    
8.442e-01        -7.296e-06   -7.493e-17   0.000e+00    
8.531e-01        -7.022e-06   -6.932e-17   0.000e+00    
8.609e-01        -6.900e-06   -6.632e-17   0.000e+00    
8.701e-01        -6.720e-06   -6.257e-17   0.000e+00    
8.807e-01        -6.525e-06   -5.851e-17   0.000e+00    
8.933e-01        -6.316e-06   -5.422e-17   0.000e+00    
9.082e-01        -6.060e-06   -4.934e-17   0.000e+00    
9.259e-01        -5.849e-06   -4.474e-17   0.000e+00    
9.460e-01        -5.567e-06   -3.946e-17   0.000e+00    
9.685e-01        -5.349e-06   -3.489e-17   0.000e+00    
1.006e+00        -5.095e-06   -3.010e-17   0.000e+00    

